name,first_publication_year,career_stage,gender,orcid_id,year,times_cited,coauthor_M,coauthor_F,coauthor_count,coauthor_country,group
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,1,2,3,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,1,3,4,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,0,2,5,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,1,3,5,{},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,2,6,3,9,{'United States': 9},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,4,0,4,{'United States': 4},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,4,0,4,{'United States': 4},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,5,0,5,{'United States': 5},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,5,0,5,{'United States': 5},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,1,4,0,4,{'United States': 4},Control
Ashwini Arjuna,2016.0,Early,F,0000-0002-4171-3184,2023,0,5,0,5,{'United States': 5},Control
Nasim Motayar,2015.0,Early,M,0009-0005-7344-6964,2023,0,6,0,6,{'United States': 6},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2023,7,8,15,40,{'United States': 40},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2023,1,6,3,24,{'United States': 27},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2023,24,6,6,24,{'United States': 25},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,1,1,1,3,{},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,96,3,3,7,"{'United States': 6, 'China': 1}",Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,35,4,0,5,"{'United States': 7, 'China': 1}",Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,19,6,3,10,{'United States': 10},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,40,1,1,4,{'United States': 4},Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,8,2,1,4,"{'United States': 3, 'Iran': 1}",Control
Behzad Amoozgar,2010.0,Mid,M,0000-0001-5888-3473,2017,2,1,3,4,{'United States': 4},Control
Eugene Oreshnikov,2009.0,Mid,M,0000-0001-8503-0783,2023,0,2,3,5,{},Control
Eugene Oreshnikov,2009.0,Mid,M,0000-0001-8503-0783,2023,0,2,3,5,{},Control
Eugene Oreshnikov,2009.0,Mid,M,0000-0001-8503-0783,2023,0,2,3,5,{},Control
Varidhi Nauriyal,2019.0,Early,M,0000-0003-3356-4964,2023,2,4,1,10,{'United States': 15},Control
Sarah Piel,2013.0,Early,F,0000-0002-1779-3532,2023,3,1,4,11,"{'United States': 10, 'Sweden': 3}",Control
Sarah Piel,2013.0,Early,F,0000-0002-1779-3532,2023,2,7,4,18,{'United States': 27},Control
Sarah Piel,2013.0,Early,F,0000-0002-1779-3532,2023,3,0,5,11,"{'United States': 11, 'Sweden': 3}",Control
Ameer Al-Hadidi,2016.0,Early,M,0000-0002-2416-6449,2023,1,4,4,9,{'United States': 9},Control
Ameer Al-Hadidi,2016.0,Early,M,0000-0002-2416-6449,2023,5,7,10,39,"{'United States': 40, 'Canada': 4}",Control
Ameer Al-Hadidi,2016.0,Early,M,0000-0002-2416-6449,2023,4,6,1,15,{'United States': 19},Control
Morta Lapkus,2015.0,Early,M,0000-0002-1257-4357,2023,0,2,6,9,{'United States': 16},Control
Morta Lapkus,2015.0,Early,M,0000-0002-1257-4357,2023,2,2,6,9,{'United States': 16},Control
Muhammad Sameed,2018.0,Early,M,0000-0003-3166-9674,2023,3,2,0,3,{'United States': 5},Control
Muhammad Sameed,2018.0,Early,M,0000-0003-3166-9674,2023,0,3,0,3,{'United States': 3},Control
Muhammad Sameed,2018.0,Early,M,0000-0003-3166-9674,2023,0,6,0,6,{'United States': 6},Control
Muhammad Sameed,2018.0,Early,M,0000-0003-3166-9674,2023,0,2,0,4,{'United States': 4},Control
Sophia Pathan,2019.0,Early,F,0000-0003-3451-1987,2023,1,0,1,1,{'United States': 1},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,5,0,8,"{'United States': 8, 'Canada': 1}",Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,8,6,25,{'United States': 25},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,6,1,8,{'United States': 8},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,8,8,19,{'United States': 17},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,9,7,20,{'United States': 19},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,1,4,0,6,{'United States': 6},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,9,4,20,{'United States': 18},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,9,6,20,{'United States': 18},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,9,7,18,{'United States': 18},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,9,5,31,{'United States': 31},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,2,9,3,18,{'United States': 18},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,3,5,0,8,"{'United States': 7, 'Canada': 1}",Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,7,4,15,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,14,4,24,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,11,6,24,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,11,6,24,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,8,1,11,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,14,4,24,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,6,0,8,{},Control
Anirban Bhattacharyya,2010.0,Mid,M,0000-0002-1646-709X,2023,0,14,4,24,{},Control
Eunjeong Heo,2020.0,Early,F,0000-0001-9632-0188,2023,7,3,3,10,"{'United States': 2, 'South Korea': 13}",Control
Eunjeong Heo,2020.0,Early,F,0000-0001-9632-0188,2023,1,1,3,5,{'South Korea': 6},Control
Eunjeong Heo,2020.0,Early,F,0000-0001-9632-0188,2023,1,7,0,7,{'South Korea': 10},Control
Eunjeong Heo,2020.0,Early,F,0000-0001-9632-0188,2023,7,3,3,10,"{'United States': 2, 'South Korea': 13}",Control
Eunjeong Heo,2020.0,Early,F,0000-0001-9632-0188,2023,1,1,3,5,{'South Korea': 6},Control
Eunjeong Heo,2020.0,Early,F,0000-0001-9632-0188,2023,1,7,0,7,{'South Korea': 10},Control
Kazuyuki Miyamoto,2010.0,Mid,M,0000-0002-9558-2570,2023,0,6,1,7,{'Japan': 8},Control
Kazuyuki Miyamoto,2010.0,Mid,M,0000-0002-9558-2570,2023,2,9,1,10,{'Japan': 12},Control
Kazuyuki Miyamoto,2010.0,Mid,M,0000-0002-9558-2570,2023,0,6,1,7,{'Japan': 4},Control
Kazuyuki Miyamoto,2010.0,Mid,M,0000-0002-9558-2570,2023,0,4,1,5,{'Japan': 5},Control
Kazuyuki Miyamoto,2010.0,Mid,M,0000-0002-9558-2570,2023,4,11,1,12,{'Japan': 23},Control
Kazuyuki Miyamoto,2010.0,Mid,M,0000-0002-9558-2570,2017,21,6,1,8,"{'Japan': 8, 'United States': 2}",Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2023,8,5,3,29,{'United States': 41},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2023,0,9,2,12,"{'United States': 11, 'India': 1}",Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2023,0,4,1,5,{'United States': 6},Control
Sidharth Mahapatra,2007.0,Mid,M,0000-0002-2483-0610,2023,0,5,2,9,{'United States': 9},Control
